"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"1#258",13830,"Rose Hill Drive at Westwood Road (southbound)",38.04424,-78.483997
"1#259",13869,"Rose Hill Drive at Rugby Avenue",38.04515,-78.483653
"1#260",13853,"Rose Hill Drive at Oxford Road",38.046796,-78.483374
"1#261",13922,"Rose Hill Drive at Greenleaf Park",38.05018,-78.483035
"1#262",13933,"Del Mar Drive at Oakleaf Lane",38.051064,-78.484497
"1#263",13750,"Wellford Street at Bruce Avenue",38.049244,-78.485785
"1#264",13732,"Wellford Street at Cambridge Circle",38.048468,-78.486781
"1#265",13766,"Wellford Street at Oxford Road",38.0474,-78.486876
"1#266",16130,"9th Street NW at West Street",38.036261,-78.489972
"1#268",16111,"9th Street NW at Anderson Street",38.03549,-78.490826
"1#270",15989,"10th Street NW at Anderson Street",38.036621,-78.492709
"1#271",16066,"10th St Nw & West St",38.037358,-78.492324
"1#273",13998,"10th Street NW at Grady Avenue",38.038113,-78.491922
"1#274",14133,"Preston Ave at Washington Park",38.039693,-78.491554
"1#275",14339,"Preston Avenue at 10th Street NW",38.039592,-78.491634
"1#276",14024,"Preston Avenue at Madison Avenue (northbound)",38.041671,-78.492091
"1#277",11833,"Preston Avenue at Madison Avenue (southbound)",38.041475,-78.492237
"1#279",15219,"Preston Avenue at Cabell Avenue (northbound)",38.04358,-78.49283
"1#280",11730,"14th Street NW at John Street",38.037284,-78.497828
"1#281",11822,"14th Street NW at Virginia Avenue",38.037573,-78.497789
"1#282",16343,"University Avenue at Carr's Hill Field",38.039364,-78.505949
"1#283",16358,"University Ave at Newcomb Road",38.037517,-78.505028
"1#300",12178,"Millmont Street behind US Post Office",38.050993,-78.504214
"1#302",13161,"Barracks Road at Cedars Court (northbound)",38.055275,-78.501341
"1#303",14387,"Barracks Road at Cedars Court (southbound)",38.055156,-78.501502
"1#304",13220,"Barracks Road at Bennington Road",38.058559,-78.505674
"1#305",14413,"Barracks Road at Surrey Road",38.059021,-78.506593
"1#306",16148,"Barracks Pl at Barracks Rd",38.060273,-78.507177
"1#307",13142,"Georgetown Road at Georgetown Square",38.062928,-78.506505
"1#308",14421,"Georgetown Road at Hessian Hills Way",38.062609,-78.50703
"1#309",13190,"Georgetown Road at Inglewood Drive",38.06507,-78.50431
"1#310",14432,"Georgetown Road at Old Forge Road",38.066219,-78.504209
"1#311",13188,"Georgetown Road at Court Place",38.068167,-78.502408
"1#312",14654,"Georgetown Rd at Biltmore Dr",38.06793,-78.503
"1#313",13119,"Georgetown Road at Hydraulic Road (northbound)",38.070959,-78.499344
"1#314",14450,"Georgetown Road at Hydraulic Road (southbound)",38.070675,-78.499824
"1#315",14445,"Hydraulic Road at Turtle Creek Road",38.06796,-78.496872
"1#316",13174,"Commonwealth Drive at Hydraulic Road (northbound)",38.067645,-78.495276
"1#317",14466,"Commonwealth Drive at Hydraulic Road (northbound)",38.067702,-78.49539
"1#318",13126,"Commonwealth Drive at Northwest Drive (northbound)",38.069137,-78.493608
"1#319",14478,"Commonwealth Drive at Northwest Drive (southbound)",38.069251,-78.493677
"1#320",14484,"Commonwealth Drive at Trophy Chase Apartments",38.07076,-78.491693
"1#321",13072,"Commonwealth Drive at Peyton Drive",38.071425,-78.490711
"1#322",13064,"Commonwealth Drive at Greenbrier Drive (NB)",38.072482,-78.489613
"1#323",14497,"Commonwealth Drive at Greenbrier Drive (SB)",38.072538,-78.489756
"1#324",13055,"Commonwealth Drive at Westfield Road (northbound)",38.073751,-78.485888
"1#325",14506,"Commonwealth Drive at Westfield Road (southbound)",38.073832,-78.485973
"1#326",13086,"Four Seasons Drive at Woodlake Drive (northbound)",38.077672,-78.483518
"1#327",14575,"Four Seasons Drive at Woodlake Drive (southbound)",38.078057,-78.484292
"1#328",13017,"Four Seasons Drive at ACAC",38.079665,-78.48658
"1#329",14568,"Four Seasons Drive opposite ACAC",38.079544,-78.486618
"1#330",13093,"Four Seasons Drive at Tennis Drive (nothbound)",38.082538,-78.487424
"1#331",14677,"Four Seasons Drive at Tennis Drive (southbound)",38.082551,-78.487562
"1#332",13029,"Four Seasons Drive at Lake Forest Lane",38.08386,-78.486599
"1#333",13040,"West Rio Road at Woodburn Road Northbound",38.086698,-78.482663
"1#334",14649,"West Rio Road at Woodburn Road Southbound",38.086903,-78.480049
"1#335",13310,"W Rio Rd at Berkmar Dr Northbound",38.085365,-78.477964
"1#337",13135,"W Rio Rd at the Daily Progress",38.084101,-78.47634
"1#339",13306,"W Rio Rd at Firestone Pl",38.083253,-78.475256
"1#341",13334,"Lowe's",38.089488,-78.472789
"1#342",13231,"Berkmar Drive at UVA Credit Union",38.091051,-78.473502
"1#343",14612,"Berkmar Drive at Loupe Terrace",38.091744,-78.47333
"1#344",13208,"Berkmar Drive at SPCA",38.092938,-78.472514
"1#345",13277,"Berkmar Drive at Signature Medical Spa",38.092833,-78.472328
"1#346",13323,"Albemarle Square at Northside Library (southbound)",38.081889,-78.471778
"1#347",16009,"Putt Putt Ln & Rio Rd East",38.077716,-78.470415
"1#348",16021,"Hillsdale Drive at Walden Court",38.073919,-78.470277
"1#349",16583,"Mall Drive at Royal Court",38.074806,-78.473336
"1#350",16605,"Hillsdale Drive at Mall Drive",38.074171,-78.47452
"1#351",16614,"Hillsdale Drive at JABA",38.074078,-78.476573
"1#352",16622,"Hillsdale Dr & Incarnation Dr",38.073475,-78.4777
"1#353",16633,"Hillsdale Drive at Incarnation Drive (southbound)",38.07343,-78.477492
"1#354",16651,"Hillsdale Drive at Branchlands Boulevard (SB)",38.072015,-78.479457
"1#355",16646,"Hillsdale Drive at Branchlands Boulevard (NB)",38.072082,-78.479605
"1#356",16667,"Greenbrier Drive at Hillsdale Drive (eastbound)",38.068682,-78.480583
"1#357",16577,"Greenbrier Drive at Westfield Road (westbound)",38.069387,-78.481543
"1#358",16679,"Greenbrier Drive at Westfield Road (eastbound)",38.069361,-78.481884
"1#359",16452,"Seminole Trail at Greenbrier Drive (northbound)",38.06971,-78.484436
"1#360",16565,"Seminole Trail at Greenbrier Drive (southbound)",38.069387,-78.485344
"1#361",16447,"Seminole Trl at Post Office",38.06804,-78.485937
"1#362",16434,"Seminole Court at Zan Road",38.065172,-78.486812
